"Horodateur","Quel est votre sexe ou genre actuel ? ( cochez toutes les réponses applicables)","Quel est votre âge ? ","Quel est votre niveau de diplôme ?","Avez-vous été directement confronté à l'épidémie de Covid (vous ou bien une personne de votre foyer infectée, précisez) ?","Si oui, à quel degré de gravité ? (Symptômes graves, hospitalisation...)","Est-ce qu’il a été difficile pour vous de vous adapter aux conditions imposées par le gouvernement (confinement, couvre-feu, télétravail, etc) ?","Vous sentez-vous différent depuis les mesures imposées par le gouvernement en rapport à l'épidémie (confinement, couvre feu) ?","Si oui, quels sont les symptômes que vous observez ?","Dans quelle mesure votre vie a-t-elle été affectée par les contraintes engendrées par l'épidémie ?","Comment évaluez-vous la gestion de cette épidémie par le gouvernement ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ? ","Les contraintes imposées par l'état d'urgence sanitaire vous semblent-elles ?","Avez vous le sentiment d’avoir bien été informé par les médias ?","Quel degré de gravité donneriez-vous à l'épidémie de Covid en France ? ","Dans combien de temps pensez-vous que l'épidémie sera derrière nous ? ","Porter le masque en présence d'autres personnes même à l'intérieur ","Porter le masque dans la rue et les lieux publics","Se laver les mains en rentrant chez soi","Se tenir au moins à 1 mètre des autres personnes","Se faire tester au moindre symptôme","Eviter les foules et autres rassemblements","Rester chez soi le plus souvent possible","Utiliser toutes les ressources du télétravail","Utiliser une solution hydroalcoolique en allant au supermarché","Saluer sans serrer la main et arrêter les embrassades","Allez-vous vous faire vacciner dès que ce sera possible ?  ","Conseillez-vous à vos proches, surtout les plus âgés, de se faire vacciner ? ","Est-ce qu'il vous semble important que les célébrités et/ou les personnalités politiques puissent se faire vacciner publiquement?","Est-ce que le fait que vos proches soient vaccinés vous inciterait à vous faire vacciner vous aussi ?","Pensez-vous être correctement informé.e des vaccins et des qualités/défauts des vaccins qui vous sont proposés ?","Comment évaluez-vous les risques d'effets secondaires graves des vaccins ?","Êtes-vous favorable à ce que les personnes qui se font vacciner puissent choisir le type de vaccin (Pfizer, Astra Zeneca, Sputnik V,...) ?","Comprenez-vous le caractère facultatif du vaccin en France ?","Êtes-vous favorable à un ""Passeport Santé"", qui permet aux personnes vaccinées d'accéder aux salles de sports, cinémas et autres salles de spectacle ?"," [Hommes politiques]"," [ Grands Laboratoires Pharmaceutiques]"," [La famille]"," [Les amis]"," [Le voisinage ]"," [Médecine généraliste]"," [La justice]"," [L'administration]"," [L'hôpital public]"," [La police]"," [L'enseignement]"," [Pharmacies]"," [Les grands médias]"," [Les réseaux sociaux]"," [Les distributeurs]"," [La science]"," [Les commerçants]"
"2021/03/10 7:06:57 PM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Non jamais","","3","Non","","5","1","5","3","3","1","5","9 mois (Décembre 2021)","Ça dépend des situations","Jamais","Systématiquement","Systématiquement","Jamais","Souvent","Souvent","Souvent","Souvent","Ça dépend des situations","1","7","Non","Non","Non","5","Non","Oui","8","Faible confiance","Confiance modérée","Confiance absolue","Confiance modérée","Faible confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Confiance modérée","Faible confiance","Aucune confiance","Confiance modérée","Faible confiance","Confiance modérée","Aucune confiance"
"2021/03/10 7:09:15 PM UTC+2","Homme","20-29 ans","Licence, Licence professionnelle","Oui moi ","2","5","Oui","Baisse de productivité","3","4","6","7","7","8","6","2 ans (Pas avant 2023)","Souvent","Souvent","Systématiquement","Rarement","Jamais","Rarement","Rarement","Jamais","Souvent","Systématiquement","7","7","Non","Oui","Non","9","Oui","Oui","3","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Confiance modérée","Aucune confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance"
"2021/03/10 7:32:02 PM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Non","","7","Oui","Anxiété;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","9","2","6","3","2","0","10","Elle va menacer pendant longtemps","Systématiquement","Souvent","Souvent","Souvent","Jamais","Souvent","Souvent","Systématiquement","Souvent","Systématiquement","4","7","Oui","Oui","Non","2","Non","Non","10","Aucune confiance","Faible confiance","Confiance absolue","Confiance absolue","Aucune confiance","Confiance modérée","Faible confiance","Faible confiance","Confiance modérée","Aucune confiance","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Confiance modérée","Confiance absolue","Confiance modérée"
"2021/03/10 7:35:30 PM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Non","","9","Oui","Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","8","1","3","0","1","10","10","Elle va menacer pendant longtemps","Jamais","Systématiquement","Systématiquement","Ça dépend des situations","Jamais","Rarement","Souvent","Jamais","Systématiquement","Systématiquement","2","8","Non","Non","Oui","8","Oui","Oui","0","Aucune confiance","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance","Confiance modérée","Confiance absolue","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/10 7:35:33 PM UTC+2","Homme","20-29 ans","Licence, Licence professionnelle","Non ","","2","Non","","6","2","6","3","5","2","5","6 mois (Septembre 2021)","Ça dépend des situations","Rarement","Souvent","Jamais","Rarement","Ça dépend des situations","Jamais","Souvent","Jamais","Systématiquement","3","10","Non","Oui","Non","6","Oui","Oui","0","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Aucune confiance","Faible confiance","Aucune confiance"
"2021/03/10 7:47:08 PM UTC+2","Femme","20-29 ans","Licence, Licence professionnelle","Non","","10","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","10","0","0","2","2","0","8","1 an (Pas avant 2022)","Rarement","Systématiquement","Systématiquement","Souvent","Jamais","Souvent","Jamais","Ça dépend des situations","Systématiquement","Rarement","5","6","Non","Oui","Non","8","Oui","Oui","0","Aucune confiance","Faible confiance","Confiance modérée","Faible confiance","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance"
"2021/03/10 7:52:05 PM UTC+2","Femme","20-29 ans","Maîtrise, Master 1","Oui moi","2","4","Oui","Anxiété;Stress;Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","4","3","3","3","3","2","6","9 mois (Décembre 2021)","Rarement","Systématiquement","Systématiquement","Souvent","Jamais","Souvent","Souvent","Souvent","Souvent","Souvent","3","2","Non","Non","Non","3","Oui","Oui","0","Aucune confiance","Faible confiance","Confiance absolue","Confiance modérée","Faible confiance","Faible confiance","Aucune confiance","Faible confiance","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance","Aucune confiance","Aucune confiance","Aucune confiance","Confiance modérée","Faible confiance"
"2021/03/10 8:13:36 PM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Non","","9","Oui","Décrochage scolaire;Déprime/baisse de morale;Baisse de productivité","8","1","3","0","1","10","10","Elle va menacer pendant longtemps","Jamais","Systématiquement","Systématiquement","Ça dépend des situations","Jamais","Rarement","Souvent","Jamais","Systématiquement","Systématiquement","2","8","Non","Non","Oui","8","Oui","Oui","0","Aucune confiance","Confiance modérée","Confiance absolue","Confiance absolue","Confiance modérée","Confiance absolue","Aucune confiance","Aucune confiance","Confiance absolue","Aucune confiance","Confiance modérée","Confiance absolue","Faible confiance","Confiance modérée","Faible confiance","Confiance modérée","Confiance modérée"
"2021/03/10 8:15:08 PM UTC+2","Homme","20-29 ans","Maîtrise, Master 1","Personne du foyer ","1","5","Non","Décrochage scolaire;Baisse de productivité","6","4","4","3","4","7","6","9 mois (Décembre 2021)","Souvent","Systématiquement","Systématiquement","Ça dépend des situations","Jamais","Systématiquement","Souvent","Rarement","Systématiquement","Rarement","1","2","Oui","Non","Non","7","Oui","Oui","10","Faible confiance","Confiance modérée","Confiance modérée","Confiance modérée","Faible confiance","Confiance modérée","Aucune confiance","Aucune confiance","Confiance modérée","Aucune confiance","Confiance modérée","Confiance modérée","Faible confiance","Faible confiance","Faible confiance","Confiance modérée","Faible confiance"
"2021/03/10 8:43:29 PM UTC+2","Homme","20-29 ans","Licence, Licence professionnelle","Non","","8","Oui","Déprime/baisse de morale","8","4","4","5","4","2","6","1 an (Pas avant 2022)","Jamais","Souvent","Systématiquement","Jamais","Jamais","Souvent","Souvent","Ça dépend des situations","Rarement","Souvent","0","3","Oui","Non","Non","3","Oui","Oui","2","Faible confiance","Faible confiance","Confiance modérée","Confiance modérée","Aucune confiance","Faible confiance","Faible confiance","Faible confiance","Faible confiance","Aucune confiance","Confiance modérée","Faible confiance","Aucune confiance","Confiance modérée","Faible confiance","Confiance absolue","Faible confiance"
